metric,value
reserved_memory_bytes,672
peak_quarantine_bytes,80
peak_active_code_bytes,80
guard_overhead_total_ms,0.06
validation_total_ms,0.45
scheduling_total_ms,0.26
application_total_ms,0.91
vulnerable_attack_chain_latency_ms,3.35
patched_attack_chain_latency_ms,3.5
vulnerable_periodic_jitter_ms,0.225
patched_periodic_jitter_ms,0.263
ota_only_cumulative_exposure_window_min,6605
hotpatch_first_cumulative_exposure_window_min,2787
exposure_window_reduction_ratio,0.578
total_attack_attempts,31
hotpatch_block_rate,0.9355
ota_only_block_rate,0.0323
